domain,scripts,Prediction
www.rarebeauty.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.rarebeauty.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
www.nativecos.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
www.nativecos.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.celestron.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.celestron.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
blendjet.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
blendjet.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
ooni.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
ooni.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.100percentpure.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.100percentpure.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
www.deathwishcoffee.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
www.deathwishcoffee.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.skinnymixes.com,https://www.skinnymixes.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.obagi.com,https://www.obagi.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
sundayriley.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
sundayriley.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
jessakae.com,https://jessakae.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.hauslabs.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.hauslabs.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
succulentsbox.com,https://succulentsbox.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.4moms.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
www.4moms.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.chroniclebooks.com,https://www.chroniclebooks.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
alastin.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.thespicehouse.com,https://www.thespicehouse.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.beararchery.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.beararchery.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
jordancraig.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
jordancraig.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
bearaby.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
bearaby.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
checkout.harperconcierge.com,https://script.hotjar.com/modules.47bdc3ea03ae568fad7d.js,
www.herbivorebotanicals.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.herbivorebotanicals.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
necessaire.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.bluettipower.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.bluettipower.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,
www.bryananthonys.com,https://www.bryananthonys.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.jonesroadbeauty.com,https://dashboard.heatmap.com/heatmap-light.min.js?sid=2821,
