domain,scripts,Prediction
www.tuftandpaw.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
chomps.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
chomps.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.lspace.com,https://www.lspace.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,0
juicebeauty.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
juicebeauty.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
fromourplace.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
fromourplace.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
philosophy.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
philosophy.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
branchbasics.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
branchbasics.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.pfaltzgraff.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.pfaltzgraff.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
spongelle.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
spongelle.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
shopmicas.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
shopmicas.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.moroccanoil.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.moroccanoil.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
businessandpleasureco.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
businessandpleasureco.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
store.barstoolsports.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
store.barstoolsports.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.neweracap.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.neweracap.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
credobeauty.com,https://credobeauty.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,0
tataharperskincare.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
tataharperskincare.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
letsbld-com.myshopify.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
letsbld-com.myshopify.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
littlesleepies.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
us.soundcore.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BPOQMosQ.js,2
us.soundcore.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,
www.igloocoolers.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BPOQMosQ.js,2
www.igloocoolers.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
arcade1up.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BPOQMosQ.js,2
arcade1up.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.jackery.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.jackery.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BQko3CH_.js,2
www.unique-vintage.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.unique-vintage.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BQko3CH_.js,2
www.kidrobot.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.kidrobot.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BQko3CH_.js,2
www.popflexactive.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.popflexactive.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BQko3CH_.js,2
www.getquip.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BQko3CH_.js,2
www.getquip.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.randco.com,https://www.randco.com/cdn/wpm/b922b36b9w64bffb83p492751e9m8c124dc0m.js,0
checkout.owalalife.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BQko3CH_.js,2
checkout.owalalife.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
olukai.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
