domain,scripts,Prediction
sigmabeauty.com,https://sigmabeauty.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.toddsnyder.com,https://ob.esnchocco.com/i/c59a81fe8cd48bd7574ee64280d9ddd8.js,
www.toddsnyder.com,https://www.toddsnyder.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.viktor-rolf.com,https://www.viktor-rolf.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
bulletjournal.com,https://bulletjournal.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.shoepalace.com,https://www.shoepalace.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.pearlizumi.com,https://www.pearlizumi.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
sundayriley.com,https://sundayriley.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
mnml.la,https://mnml.la/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.hauslabs.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.taylorstitch.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.rains.com,https://www.rains.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.kamadojoe.com,https://www.kamadojoe.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
lifestraw.com,https://lifestraw.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.obagi.com,https://www.obagi.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
cardosystems.com,https://cardosystems.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.gouletpens.com,https://www.gouletpens.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.botanicalinterests.com,https://www.botanicalinterests.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.olly.com,https://www.olly.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
patternbeauty.com,https://patternbeauty.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.stilacosmetics.com,https://www.stilacosmetics.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.dormify.com,https://www.dormify.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.liquid-iv.com,https://td.yieldify.com/yieldify/code.js?w_uuid=c729af96-0312-4ccb-8519-d22d0169fd11&k=1&loca=https://www.liquid-iv.com/,
www.liquid-iv.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.iheartraves.com,https://www.iheartraves.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
auratenewyork.com,https://auratenewyork.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.overstock.com,https://www.overstock.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.the-citizenry.com,https://www.the-citizenry.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.victoriabeckham.com,https://www.victoriabeckham.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.tenthousandvillages.com,https://www.tenthousandvillages.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.masterbuilt.com,https://www.masterbuilt.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.masterbuilt.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
succulentsbox.com,https://succulentsbox.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.selfieleslie.com,https://www.selfieleslie.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
credobeauty.com,https://credobeauty.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.3wishes.com,https://www.3wishes.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
myfahlo.com,https://myfahlo.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.4moms.com,https://www.4moms.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
rollerrabbit.com,https://rollerrabbit.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
beekman1802.com,https://beekman1802.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.manduka.com,https://www.manduka.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
giadzy.com,https://giadzy.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.oofos.ca,https://www.oofos.ca/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.tentree.com,https://www.tentree.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
philosophy.com,https://philosophy.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.glowrecipe.com,https://www.glowrecipe.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
floydhome.com,https://floydhome.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.laurageller.com,https://www.laurageller.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.drinkhint.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
megafood.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.arhaus.com,https://www.arhaus.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
alastin.com,https://alastin.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
moniquelhuillier.com,https://moniquelhuillier.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
tomboyx.com,https://tomboyx.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.igloocoolers.com,https://www.igloocoolers.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
